,sentence,label
341,"Persistente Cookies speichern Daten zu Ihrem Computer für verschiedene Zwecke, beispielsweise Abruf bestimmter Informationen, die Sie zuvor bereitgestellt haben (wie etwa Passwörter), Feststellung, welche Bereiche der Webseite für Besucher am wertvollsten sind, und laufende Anpassung der Webseite auf der Basis Ihrer Präferenzen.",None
342,"Persistente Cookies, die von dieser Seite auf Ihrem Computer platziert werden, können personenbezogene Daten enthalten, jedoch nur wenn Sie sich registriert oder der Speicherung personenbezogener Daten, die Sie auf der Seite bereitstellen, in anderer Form zugestimmt haben.",None
343,"Andernfalls weiß der Server unserer Seite nur, dass ein nicht identifizierter Besucher mit Ihrem Cookie auf die Seite zurückgekehrt ist.",None
344,"Sie können mit Ihrem Browser festlegen, dass die Verwendung von Cookies blockiert wird.",None
345,"Wenn Sie Cookies nicht zulassen möchten, kann Ihr Browser so eingestellt werden, dass Sie das Speichern von Cookies automatisch ablehnen oder jedes Mal, wenn eine Seite das Speichern eines Cookies verlangt, informiert werden.",None
346,Mit dem Browser können auch zuvor gespeicherte Cookies gelöscht werden.,None
347,Auf den Hilfeseiten des Browsers finden Sie weitere Informationen.,None
348,Unter http://www.allaboutcookies.org/manage-cookies/index.html  finden Sie Informationen zu häufig verwendeten Browsern.,None
349,"Wenn Sie festlegen, dass Cookies nicht zugelassen werden, kann dies jedoch die Funktionen beschränken, die Ihnen auf unseren Webseiten zur Verfügung stehen.",None
350,"

Wir und unsere Dienstleister können Daten auch auf folgende Weise automatisch erfassen und verwenden:",None
351,"

Über Ihren Browser: Bestimmte Daten werden von den meisten Browsern erfasst, beispielsweise Ihre MAC-Adresse (Media Access Control), Computertyp (Windows oder Mac), Bildschirmauflösung, Name und Version des Betriebssystems sowie Typ und Version des Internetbrowsers.",None
352,"Wir können vergleichbare Daten erfassen, wenn Sie mit einem mobilen Gerät auf die Seite zugreifen, beispielsweise Gerätetyp und Gerätekennung.",None
353,"Wir verwenden diese Informationen, um sicherzustellen, dass die Seite ordnungsgemäß funktioniert.",None
354,"

IP-Adresse: Sobald ein Benutzer die Seite besucht, wird Ihre IP-Adresse identifiziert und, zusammen mit dem Zeitpunkt des Besuchs und den besuchten Seiten, in unseren Server-Protokolldateien automatisch protokolliert.",None
355,"Wir verwenden teilweise maskierte IP-Adressen, um beispielsweise den Nutzungsumfang der Seite zu berechnen, Serverprobleme zu diagnostizieren und die Seite zu verwalten.",None
356,Wir können auch Ihren ungefähren Standort aus Ihrer teilweise maskierten IP-Adresse (2-Byte-Anonymisierung) ableiten.,None
357,"

Gerätedaten: Wir können Daten von dem Gerät erfassen, das Sie während Ihres Besuchs verwenden (Gerätetyp, Betriebssystem, Bildschirmauflösung, Sprache, Land, in dem Sie sich befinden, und Webbrowsertyp).",None
358,"

Verwalten der auf dieser Website verwendeten Cookies
",None
359,"Um die auf dieser Website verwendeten Cookies zu verwalten, öffnen Sie das Dialogfeld Cookie-Einstellungen im OneTrust Privacy Preference Center.",None
360,"

Liste der auf dieser Website verwendeten",None
361,"Um eine Liste der auf dieser Website verwendeten Cookies anzuzeigen, öffnen Sie die Seite Cookie-Erklaerung.",None
362,"

So verwenden wir Ihre personenbezogenen Daten
Personenbezogene Daten, die Sie uns vorlegen, werden von uns verwendet und offengelegt, wie Ihnen gegenüber zum Zeitpunkt der Erfassung erläutert und insbesondere für die folgenden Zwecke:",None
363,"

Bereitstellung der Funktionen der Seite und Beantwortung Ihrer Anfragen, wenn wir eine vertragliche Beziehung oder ein rechtmäßiges Interesse haben.",None
364,"Dazu gehört:

Bereitstellung von Kundendienstleistungen für Sie.",None
365,"
Reaktion auf Ihre Anfragen und Bearbeitung Ihrer Anträge sowie Durchführung Ihrer Transaktionen.",None
366,"
Übermittlung administrativer Informationen an Sie, beispielsweise Änderungen unserer Bedingungen, Konditionen und Richtlinien sowie Marketingkommunikation, von der wir glauben, dass sie für Sie von Interesse ist.",None
367,"
Ermöglichung von Social-Sharing-Funktionen.",None
368,"
Bereitstellung personalisierter Leistungen, wenn wir Ihre Einwilligung oder ein rechtmäßiges Interesse daran haben, Ihnen Informationen vorzulegen, die für Sie von Interesse sind.",None
369,Dazu gehört:,None
370,"

Erwerb eines besseren Verständnisses Ihrer Bedürfnisse und Personalisierung unserer Interaktionen mit Ihnen.",None
371,"
Analyse oder Vorhersage der Präferenzen unserer Benutzer, um zusammenfassende Trendberichte zur Nutzung unserer Seiten zu erstellen.",None
372,"
Analyse oder Vorhersage Ihrer Präferenzen, um unsere Interaktionen mit Ihnen zu verbessern, d. h. um Ihnen die Inhalte, Produkte und Angebote (über unsere Seite, E-Mails oder digitale Tools) vorzulegen, von denen wir glauben, dass sie für Ihre beruflichen Interessen relevant sind.",None
373,"
Zusammenarbeit mit Ihnen als medizinische Fachkraft, wenn wir eine vertragliche Beziehung oder ein rechtmäßiges Interesse haben.",None
374,"Dazu gehört:

Verifizierung Ihrer Berechtigung, auf bestimmte Produkte, Leistungen und Daten zuzugreifen, die ausschließlich bestimmten lizenzierten medizinischen Fachkräften angeboten werden.",None
375,"
Interaktion mit Ihnen auf der Basis Ihrer fachlichen Kompetenz und Meinung mithilfe von digitalen oder anderen Methoden.",None
376,Ihre Einbeziehung in Programme/,None
377,Panels für medizinisches Fachpersonal.,None
378,Ihre Einbeziehung im Kontext von Umfragen zu unseren Produkten oder Leistungen oder den Produkten oder Leistungen eines verbundenen Unternehmens oder Geschäftspartners von Fresenius Medical Care.,None
379,"
Zusammenarbeit mit Ihnen im Rahmen von medizinischen Veranstaltungen, Publikationen oder Beratungsgesprächen.",None
380,"
Beschaffung Ihrer Stellungnahme zu Produkten und Leistungen, die von uns oder einem verbundenen Unternehmen oder Geschäftspartner von Fresenius Medical Care beworben werden, für Entwicklungs- und Verbesserungszwecke.",None
381,"
Ermöglichung, dass Sie an speziellen Programmen, Aktivitäten, Veranstaltungen oder Werbeaktionen im Rahmen unserer vertraglichen Beziehung mit Ihnen oder auf der Basis unseres rechtmäßigen Interesses teilnehmen.",None
382,"

Führung unseres Geschäfts, um unsere Rechtspflichten zu erfüllen und unsere rechtmäßigen Interessen an der Weiterführung unseres Geschäfts zu wahren.",None
383,"Dazu gehört:

Durchführung von Datenanalysen und Prüfungen.",None
384,Identifizierung von Nutzungstrends bei der Verwendung unserer Seiten und Analyse der Effektivität unserer Kommunikation.,None
385,"
Feststellung, Verhinderung und Untersuchung von Betrug unter Einbeziehung der Überwachung und des Schutzes der (Cyber-)Sicherheit.",None
386,"
Entwicklung, Erweiterung, Verbesserung oder Änderung unserer Produkte und Leistungen.",None
387,"
Validierung Ihrer Möglichkeit, auf bestimmte Produkte oder Leistungen zuzugreifen oder diese zu nutzen.",None
388,"
Erwerb eines besseren Verständnisses, welchen Einfluss unsere Produkte und Leistungen auf Ihre Person und die Personen haben, die Sie versorgen.",None
389,"
Nachverfolgung von und Reaktion auf Bedenken, einschließlich der Erfüllung der regulatorischen Überwachungs- und Berichtspflichten in Zusammenhang mit unerwünschten Ereignissen, Produktbeanstandungen und Patientensicherheit.",None
390,Durchführung und Erweiterung unserer geschäftlichen Aktivitäten.,None
391,"So geben wir Ihre personenbezogenen Daten weiter
",None
392,"Wir geben Daten, die über die Seite erfasst wurden, zudem wie folgt weiter:",None
393,"

an andere verbundene Unternehmen von Fresenius Medical Care für die in dieser Datenschutzrichtlinie beschriebenen Zwecke oder auf der Basis Ihrer Anfrage (z. B. über unser Kontaktformular).",None
394,"Eine Liste der verbundenen Unternehmen von Fresenius Medical Care finden Sie hier
an unsere externen Partner, mit denen wir kooperieren und im Hinblick auf bestimmte Produkte oder Leistungen zusammenarbeiten,
an unsere externen Dienstleister, um Dienstleistungen bereitzustellen, beispielsweise Hosting und Moderation von Webseiten/Anwendungen, Datenanalyse, Zahlungsverarbeitung, Auftragserfüllung, Bereitstellung von Infrastruktur, IT-Dienste, Kundendienst, E-Mail-Dienste und Zustelldienste für Direct Mailing, Prüfung und andere Dienstleistungen, und
wie unter geltendem Recht zulässig, an Dritte im Fall von Umstrukturierungen, Zusammenschlüssen, Verkäufen, Joint Ventures, Abtretungen, Übertragungen oder sonstigen Veräußerungen der Gesamtheit oder eines Teils unseres Geschäfts, unserer Vermögenswerte oder unserer Aktien (u. a. in Verbindung mit einem Insolvenzverfahren oder vergleichbaren Verfahren).",None
395,"
Außerdem können wir Ihre Daten weitergeben, wenn wir dies für notwendig oder angemessen halten:",None
396,"

um die Rechte, Privatsphäre, Sicherheit oder Vermögenswerte, die uns und/oder unseren verbunden Unternehmen, Ihnen oder anderen Personen zufallen, zu schützen,
um geltendes Recht und unsere regulatorischen Überwachungs- und Berichtspflichten (wobei Pflichten unter Gesetzen außerhalb Ihres Wohnsitzstaates einbezogen sein können) zu erfüllen, auf Anfragen von öffentlichen und staatlichen Behörden zu reagieren (wobei Pflichten unter Gesetzen außerhalb Ihres Wohnsitzstaates einbezogen sein können) und mit den Strafverfolgungsbehörden zusammenzuarbeiten, oder für andere rechtmäßige Zwecke,
um unsere Bedingungen und Konditionen durchzusetzen.",None
397,"Wir können Ihre Daten auch in anderer Weise verwenden und offenlegen, nachdem wir Ihre entsprechende Einwilligung erhalten haben.",None
398,"

Außerdem können wir, sofern dies unter geltendem Recht zulässig ist, Daten, die nicht in personenbezogener Form vorliegen, für beliebige Zwecke verwenden und offenlegen.",None
399,"Wenn wir Daten, die nicht in personenbezogener Form vorliegen, mit personenbezogenen Daten zusammenführen (beispielsweise Zusammenführung von Ihrem Namen und Ihrem geografischen Standort), werden wir die zusammengeführten Daten als personenbezogene Daten behandeln, solange die Kombination existiert.",None
400,"

Entscheidungsmöglichkeiten und Zugang
",None
401,"Ihre Entscheidungsmöglichkeiten bezüglich unserer Verwendung und Offenlegung Ihrer personenbezogenen Daten für Marketingzwecke
",None
402,"Wenn Sie sich für einen Newsletter oder anderes Marketingmaterial/sonstige Informationen registriert haben und keine Marketingkommunikation mehr von uns erhalten möchten, können Sie diese abbestellen, indem Sie auf den Link zum Abbestellen klicken, der sich in jeder eingehenden E-Mail befindet.",None
403,Wir werden Ihre Abbestellung(en) schnellstmöglich bearbeiten.,None
404,"

Ihre Entscheidungsmöglichkeiten bezüglich unserer Weitergabe Ihrer personenbezogenen Daten an verbundene Unternehmen oder externe Partner
",None
405,"Wenn Sie wünschen, dass wir Ihre personenbezogenen Daten künftig nicht an unsere verbundenen Unternehmen und/oder externen Partner für deren Marketingzwecke weitergeben, können Sie dieser Weitergabe widersprechen, indem Sie sich mittels der Kontaktangaben im nachfolgenden Bereich „Kontakt“ auf dieser Seite an uns wenden.",None
406,"

So können Sie auf Ihre personenbezogenen zugreifen und diese ändern oder löschen
",Right to Deletion
407,"Wenn Sie Ihre personenbezogenen Daten prüfen, berichtigen, aktualisieren, beschränken oder löschen möchten oder eine elektronische Kopie Ihrer personenbezogenen Daten wünschen, um sie an ein anderes Unternehmen zu übermitteln (soweit Ihnen diese Rechte unter geltenden Gesetzen zur Verfügung stehen), wenden Sie sich bitte mittels der Kontaktangaben im nachfolgenden Bereich „Kontakt“ auf dieser Seite an uns.",None
408,"Wir werden Ihre Anfrage schnellstmöglich, spätestens jedoch innerhalb von einem Monat nach Eingang, beantworten.",None
409,"Wenn sich unsere Antwort aufgrund der Umstände verzögert, werden wir Sie umgehend informieren und ein Datum für unsere Reaktion nennen.",None
410,"Grenzüberschreitende Übertragung
",None
411,"Ihre personenbezogenen Daten können in jedem Land, in dem wir Einrichtungen betreiben oder unsere Dienstleister ansässig sind, gespeichert und verarbeitet werden, und durch Nutzung unserer Seite oder Übermittlung einer Einwilligung an uns (sofern per Gesetz vorgeschrieben) können Ihre personenbezogenen Daten in Länder außerhalb Ihres Wohnsitzstaates übermittelt werden, u. a. in Länder, die sich außerhalb des Europäischen Wirtschaftsraums (EWR) befinden und ggf. andere Datenschutzregeln als Ihr Wohnsitzstaat vorsehen.",None
412,"Für bestimmte EWR-Staaten hat die Europäische Kommission festgestellt, dass sie ein angemessenes Niveau des Datenschutzes gemäß den EWR-Standards bieten (die vollständige Liste dieser Staaten ist hier verfügbar).",None
413,"Bei Übermittlungen aus dem EWR in Staaten, deren Datenschutzstandards von der Europäischen Kommission nicht als adäquat betrachtet werden, sind wir verpflichtet, adäquate Maßnahmen sicherzustellen, u. a. indem wir gewährleisten, dass der Empfänger durch EU-Standardvertragsklauseln oder einem von der EU genehmigten Verhaltenskodex oder einer entsprechenden Bescheinigung zum Schutz Ihrer personenbezogenen Daten verpflichtet ist.",None
414,"Um eine Kopie dieser Maßnahmen zu erhalten, wenden Sie sich bitte mittels der Angaben im nachfolgenden Bereich „Kontakt“ an uns.",None
415,"

Sicherheit
",None
416,"Wir ergreifen geeignete Maßnahmen, um personenbezogene Daten zu schützen, die mit geltenden Gesetzen und Vorschriften zum Schutz der Privatsphäre und Daten im Einklang stehen, u. a. indem wir von Dienstleistern verlangen, geeignete Maßnahmen zum Schutz der Vertraulichkeit und Sicherheit personenbezogener Daten zu ergreifen.",None
417,"

Aufbewahrungsfrist
",None
418,"Wir bewahren Ihre personenbezogenen Daten so lange auf, wie dies in Anbetracht der Zwecke, für die sie beschafft wurden, und der geltenden gesetzlichen Vorschriften erforderlich oder zulässig ist.",None
419,"Die Kriterien, die wir zur Festlegung unserer Aufbewahrungsfristen heranziehen, sind u. a.: (i) die Länge des Zeitraums, über den wir eine laufende Beziehung mit Ihnen unterhalten und Ihnen die Seite zur Verfügung stellen, (ii) die Feststellung, ob eine Rechtspflicht existiert, der wir unterworfen sind, und (iii) die Feststellung, ob die Aufbewahrung in Anbetracht unserer Rechtsstellung ratsam ist (beispielsweise im Hinblick auf geltende Verjährungsfristen, Rechtsstreitigkeiten oder behördliche Untersuchungen).",None
420,"

Standorte und Leistungen Dritter
",None
421,"Diese Datenschutzrichtlinie bezieht sich nicht auf die Erfassung, Verwendung oder Offenlegung von Daten oder Sicherheitspraktiken oder andere Praktiken einer dritten Partei, einschließlich dritter Parteien, die einen Dienst betreiben, auf den durch Links auf der Seite verwiesen wird, und auf die Verwendung von Cookies, die wiederum auf der Festplatte Ihres Computers gespeichert werden können, und wir übernehmen keine Verantwortung für derartige Aktivitäten.",None
422,"Die Einbeziehung eines Links auf dieser Seite impliziert nicht unsere Empfehlung des verlinkten Dienstes, und der Zugriff auf externe Links erfolgt auf Ihr Risiko.",None
423,"Wir übernehmen keine Haftung für Schäden oder Folgen, die durch den Besuch von Seiten über die erwähnten externen Links verursacht werden.",None
424,"Wir empfehlen Ihnen, die Datenschutzrichtlinie jeder von Ihnen besuchten Webseite zu lesen.",None
425,"Diese Seite verwendet Social Bookmarks (z. B. von Facebook, Twitter, Google+ und LinkedIn).",None
426,"Social Bookmarks ermöglichen es Benutzern, Links und Nachrichten zu teilen.",None
427,Wir haben lediglich einen Link zu dem entsprechenden sozialen Netzwerk auf unserer Webseite einbezogen.,None
428,Nach dem Klicken auf die integrierte Grafik werden Ihre Daten an den entsprechenden Anbieter übermittelt.,None
429,"Sofern Sie bereits bei dem sozialen Netzwerk angemeldet sind, können Daten unmittelbar mit Ihrem Account verbunden werden, wenn Sie auf die Grafik klicken.",None
430,Informationen zum Umgang mit Ihren personenbezogenen Daten bei Verwendung dieser verlinkten Dienste entnehmen Sie bitte der Datenschutzrichtlinie des jeweiligen sozialen Netzwerks.,None
431,"Die Bereitstellung aller downloadfähigen Dokumente, Dateien oder Medien, die auf der Webseite zur Verfügung gestellt werden, erfolgt auf Ihr Risiko.",None
432,"Wenngleich alle Vorsichtsmaßnahmen ergriffen wurden, um sicherzustellen, dass ausschließlich unverfälschte Downloads verfügbar sind, empfehlen wir Ihnen, ihre Unverfälschtheit mithilfe einer Virenschutzsoftware oder vergleichbarer Anwendungen von Drittanbietern zu verifizieren.",None
433,"Wir übernehmen keine Verantwortung für externe Downloads oder Downloads, die auf externen Webseiten bereitgestellt werden, und empfehlen Ihnen, ihre Unverfälschtheit mithilfe einer Virenschutzsoftware oder vergleichbarer Anwendungen von Drittanbietern zu verifizieren.",None
434,"Sollten Sie Fragen, Anmerkungen, Anliegen oder Bedenken im Hinblick auf diese Datenschutzrichtlinie oder die Informationspraktiken dieser Seite haben oder beabsichtigen, künftiger Kommunikation zu widersprechen, setzen Sie sich bitte wie folgt mit uns in Verbindung:",None
435,Else-Kröner-Str.,None
436,Deutschland,None
437,Sie können sich mit etwaigen Fragen auch an unseren Datenschutzbeauftragten unter der folgenden E-Mail-Adresse wenden:,None
438,"
datenschutzbeauftragter(at)",None
439,Alternativ können Sie uns eine Mitteilung über das Kontaktformular auf dieser Webseite senden.,None
440,"

Einreichung einer Beschwerde bei einer Aufsichtsbehörde
",None
441,Sie können eine Beschwerde bei einer für Ihr Land oder Ihre Region zuständigen Aufsichtsbehörde einreichen.,None
442,"Bitte klicken Sie hier, um die Kontaktinformationen solcher Behörden aufzurufen.",None
443,"

Aktualisierungen dieser Datenschutzrichtlinie
",None
444,Wir können diese Datenschutzrichtlinie ändern.,None
445,"Änderungen an dieser Datenschutzrichtlinie werden wirksam, wenn wir die überarbeitete Datenschutzrichtlinie auf der Seite veröffentlichen.",None
446,"Wir empfehlen, dass Sie die Datenschutzrichtlinie regelmäßig prüfen, wenn Sie die Seite besuchen.",None
447,Diese Richtlinie wurde zuletzt am 25. Oktober 2018 aktualisiert.,None
448,"
Datenschutzrichtlinie
",None
449,Datenschutzhinweise,None
450,Der Schutz Ihrer personenbezogenen Daten ist der BNP Paribas-Gruppe ein wichtiges Anliegen und die Gruppe hat in diesem Zusammenhang strikte Grundsätze definiert.,None
451,Zur BNP Paribas-Gruppe gehören viele verschiedene Unternehmenseinheiten.,None
452,"Wenn Sie erfahren möchten, welche Gesellschaft bzw. Gesellschaften der BNP Paribas- Gruppe Ihre personenbezogenen Daten verarbeitet bzw. verarbeiten, nehmen Sie bitte über die im nachstehenden Punkt 9 aufgeführte Adresse Kontakt mit uns auf.",None
453,"Soweit in Übereinstimmung mit dem geltenden Recht die Datenschutz-Grundverordnung der EU anwendbar ist, bieten Ihnen diese Datenschutzhinweise ausführliche Informationen zum Schutz Ihrer personenbezogenen Daten durch BNP Paribas und ihre Tochtergesellschaften, in erster Linie in Bezug auf unseren Geschäftsbereich Corporate & Institutional Banking und die Dienstleistungen von BNP Paribas Securities Services, wie im Folgenden detailliert dargestellt („wir”).",None
454,Als Datenverantwortlicher tragen wir die Verantwortung für das Erheben und die Verarbeitung Ihrer personenbezogenen Daten im Zusammenhang mit unserer Geschäftstätigkeit.,None
455,"Zweck dieser Datenschutzhinweise ist es, Sie zu informieren, welche personenbezogenen Daten wir über Sie verarbeiten, weshalb wir solche Daten verarbeiten und weitergeben und auch wie lange wir diese vorhalten.",None
456,"Darüber hinaus erfahren Sie, welche Rechte Sie haben und wie Sie diese ausüben können.",None
457,In bestimmten Gebieten außerhalb des Europäischen Wirtschaftsraums (EWR) wird die Verarbeitung Ihrer personenbezogenen Daten möglicherweise durch andere Datenschutzhinweise oder Policies geregelt.,None
458,"Falls die Bestimmungen dieser Datenschutzhinweise oder Policies mit den Bestimmungen der vorliegenden Datenschutzhinweise im Widerspruch stehen, gelten die ersteren Datenschutzhinweise oder -richtlinien vorrangig.",None
459,"

Wenn Sie sich für ein bestimmtes Produkt oder eine bestimmte Dienstleistung entscheiden, erhalten Sie bei Bedarf weitere Informationen.",None
460,Welche personenbezogenen Daten über Sie verarbeiten wir?,None
461,"Wir erheben personenbezogene Daten über Sie und verwenden diese, soweit dies im Rahmen unserer Geschäftstätigkeit erforderlich ist und um einen hohen Standard an persönlich zugeschnittenen Produkten und Dienstleistungen zu erlangen.",None
462,"Wir erheben unterschiedliche Arten personenbezogener Daten über Sie, etwa:

Identitätsinformationen (z. B. Name, Personalausweis- oder Reisepassnummer, Nationalität, Geburtsort und -datum, Geschlecht, Lichtbild, IP-Adresse)",None
463,"Kontaktinformationen (Anschrift, E-Mail-Adresse, Telefonnummer usw.)",None
464,"Informationen zur familiären Situation (z. B. Familienstand, Anzahl der Kinder)",None
465,"
Steuerinformationen (z. B. Steueridentifikationsnummer, Steuerstatus)",None
466,"Informationen zu Ausbildung und Beruf (Bildungsstand, Berufstätigkeit, Name des Arbeitgebers, Verdienst usw.)",None
467,"
Bankgeschäfts-, Finanz- und Transaktionsdaten (z. B. Bankverbindung, Kreditkartennummer, Zahlungsverkehr, Vermögenswerte, erklärtes Anlegerprofil, Bonitätsgeschichte, Verbindlichkeiten und Kosten);",None
468,"
Daten in Bezug auf Ihre Gewohnheiten und Präferenzen:",None
469,"
Daten über Ihre Nutzung unserer Produkte und Dienstleistungen einschließlich Bankgeschäfts-, Finanz- und Transaktionsdaten;",None
470,"
Daten aus Ihren Interaktionen mit uns: unsere Niederlassungen (Kontaktberichte), unsere Websites, unsere Apps, unsere Social-Media-Seiten, Meetings, Anrufe, Chats, E-Mails, Gespräche, Telefonate;",None
471,"
Videoüberwachung (einschließlich Überwachungskameras) und Geolokationsdaten (aus denen aus Sicherheitsgründen z. B. hervorgeht, an welchen Orten Abhebungen und Zahlungen erfolgt sind, oder wo Sie die nächstgelegenen Niederlassungen oder Dienstleister finden); und
Daten, die zur Bekämpfung von Überschuldung erforderlich sind.",None
472,"Die folgenden sensiblen Daten dürfen nur dann eingeholt werden, wenn Sie dem zuvor ausdrücklich zugestimmt haben:

Biometriedaten (z. B. Fingerabdruck, Stimm- oder Gesichtsmuster), die zu Identifizierungs- und Sicherheitszwecken verwendet werden können
Gesundheitsdaten für den Abschluss bestimmter Versicherungsverträge;",None
473,"diese Daten werden erforderlichenfalls nach dem Grundsatz ‚Kenntnis nur, wenn notwendig‘ verarbeitet",None
474,"Wir werden Sie in keinem Falle um personenbezogene Daten in Bezug auf Ihre rassische oder ethnische Herkunft, Ihre politische Einstellung, Ihre religiösen oder weltanschaulichen Überzeugungen, Ihre Gewerkschaftszugehörigkeit, Ihre genetischen Anlagen, Ihre sexuelle Orientierung oder strafrechtliche Verurteilungen und Straftaten („Daten aus dem Strafregister”/“Bundeszentralregister“) bitten, sofern wir nicht aufgrund einer gesetzlichen Anforderung dazu verpflichtet sind.",None
475,"

Um unsere Datenbank abzugleichen oder zu vervollständigen, können die von uns über Sie verwendeten Daten entweder direkt von Ihnen zur Verfügung gestellt werden oder diese stammen

aus öffentlich zugänglichen Quellen von öffentlichen Behörden (beispielsweise dem Bundesanzeiger);",None
476,"
von unseren Firmenkunden oder Dienstleistern;",None
477,"
von Dritten wie Kreditauskunfteien und Betrugsbekämpfungsbehörden oder Datenbrokern und werden unter Beachtung der datenschutzrechtlichen Bestimmungen bereitgestellt;",None
478,"
von Internetseiten bzw. Social-Media-Seiten, die von Ihnen veröffentlichte Informationen enthalten (beispielsweise Ihrer eigenen Website oder Social-Media-Seite);",None
479,"
aus öffentlich zugänglichen Datenbanken Dritter.",None
480,2. Sonderfälle der Erhebung personenbezogener Daten einschließlich einer indirekten Datenerhebung,None
481,"Unter bestimmten Umständen erheben und verarbeiten wir personenbezogene Daten von Personen, mit denen wir eine unmittelbare Beziehung haben, haben könnten oder früher hatten, etwa:

Besucher unserer Websites;",None
482,"
Interessenten oder Bestandskunden; oder
",None
483,Teilnehmer unserer Veranstaltungen.,None
484,"Unter Umständen können wir Informationen über Sie erheben, obwohl Sie keine direkte Beziehung zu uns unterhalten.",None
485,"Dies kann etwa der Fall sein, wenn Ihr Arbeitgeber uns Informationen über Sie zur Verfügung stellt, oder wenn wir Ihre Kontaktdaten von einem unserer Kunden erhalten, falls Sie zu einem der folgenden Personenkreise zählen:

Familienmitglieder;",None
486,Mitdarlehensnehmer / Sicherungsgeber;,None
487,"
Bevollmächtigte;",None
488,"
Zahlungsempfänger bei Transaktionen unserer Kunden;",None
489,Begünstigte von Versicherungspolicen und Treuhandverhältnissen;,None
490,"
Vermieter;",None
491,Wirtschaftlich Berechtigte;,None
492,"
Schuldner von Kunden (z. B. bei Insolvenz);",None
493,"
Anteilseigner von Gesellschaften;",None
494,Gesetzliche Vertreter einer Rechtsperson (dies kann ein Kunde oder Verkäufer sein);,None
495,"und
Mitarbeiter von Dienstleistern und Geschäftspartnern.",None
496,3. Weshalb und auf welcher Grundlage verarbeiten wir ihre personenbezogenen Daten?,None
497,Um unsere gesetzlichen und regulatorischen Pflichten zu erfüllen.,None
498,"Wir verwenden Ihre personenbezogenen Daten, um verschiedenen gesetzlichen und regulatorischen Pflichten im Rahmen der folgenden Erfordernisse nachzukommen:",None
499,"Unter Einhaltung der Bank- und Kapitalmarktvorschriften aufgrund derer wir:
Sicherheitsmaßnahmen zur Verhinderung von Missbrauch und Betrug einführen;",None
500,"
Transaktionen erkennen, die von den üblichen Mustern abweichen;",None
501,"
Ermittlung Ihrer Kreditrisikoeinstufung und Rückzahlungsfähigkeit;",None
502,Überwachung und Meldung von den Instituten möglicherweise erwachsenen Risiken;,None
503,"Aufzeichnung von Telefongesprächen, Chats, E-Mails usw;[1]
",None
504,Befolgung von öffentlich-rechtlichen Verfügungen zuständiger staatlicher Stellen oder der Justizbehörde;,None
505,"
Verhinderung von Geldwäsche und Terrorismusfinanzierung;",None
506,"
Einhaltung der Rechtsvorschriften in Bezug auf Sanktionen und Embargos; und
",None
507,Bekämpfung von Steuerbetrug und Erfüllung von Steuerkontroll- und Mitteilungspflichten.,None
508,Um unsere vertraglichen Verpflichtungen mit Ihnen zu erfüllen oder um auf Ihre Aufforderung hin bestimmte Maßnahmen vor Vertragsabschluss zu ergreifen.,None
509,"Wir verwenden Ihre personenbezogenen Daten, um unsere vertraglichen Verpflichtungen zu erfüllen.",None
510,"Hierzu gehört unter anderem, dass wir

Ihnen Informationen zu unseren Produkten und Dienstleistungen zur Verfügung stellen;",None
511,"
Ihnen behilflich sind und Ihre Anfragen beantworten;",None
512,"
prüfen, ob und unter welchen Bedingungen wir Ihnen ein Produkt oder eine Dienstleistung anbieten können;",None
513,"
unseren Geschäftskunden, von denen Sie ein Mitarbeiter, Anteilseigner, wirtschaftliche Berechtigter oder Kunde sind (beispielsweise im Zusammenhang mit Cash-Management), Produkte oder Dienstleistungen anbieten.",None
514,Um unsere berechtigten Interessen wahrzunehmen.,None
515,"Wir verwenden Ihre personenbezogenen Daten, um unsere Produkte und Dienstleistungen bereitzustellen und zu optimieren, unser Risikomanagement zu verbessern und zur Geltendmachung, Ausübung oder Verteidigung unsere Rechtsansprüche.",None
516,"Dies bezieht sich unter anderem auf die folgenden Aspekte:

Transaktionsnachweise;",None
517,Prävention von Betrug;,None
518,"
IT-Management einschließlich Infrastrukturmanagement (z. B. gemeinsame Plattformen), sowie Maßnahmen zur Aufrechterhaltung des kontinuierlichen Geschäftsbetriebs und IT-Sicherheit;",None
519,"
Erstellung von individuellen statistischen Modellen anhand von Auswertungen der Transaktionen für die Ermittlung Ihrer Kreditrisikoeinstufung;",None
520,"Erstellung von aggregierten Statistiken, Tests und Modellen zum Zweck der Forschung und Entwicklung, um das Risikomanagement unserer Unternehmensgruppe zu optimieren oder um bestehende Produkte und Dienstleistungen zu verbessern bzw. neue zu entwickeln;",None
521,"
Schulung unserer Mitarbeiter durch die Aufzeichnung von Anrufen in unseren Callcentern;1",None
522,"Unser Angebot für Sie oder die Rechtsperson, die Sie vertreten, und das Angebot anderer Unternehmenseinheiten von BNP Paribas zu personalisieren mittels;",None
523,"
Verbesserung der Qualität unserer Bankgeschäfts-, Finanz- oder Versicherungsprodukte oder –dienstleistungen;",None
524,"
Bewerbung von Produkten oder Dienstleistungen, die zu Ihren persönlichen Umständen und Ihrem Profil passen;",None
525,dies kann erreicht werden durch:,None
526,"
die Segmentierung unserer Interessenten und Kunden;",None
527,"
die Analyse Ihrer Gewohnheiten und Präferenzen in den unterschiedlichen Kanälen (Besuche in unseren Niederlassungen, E-Mails oder Nachrichten, Besuche auf unserer Website usw.);",None
